id,database,search_date,title,authors,year,journal_conference,doi,abstract_snippet
R0184,PubMed,2026-01-20,Comparative analysis of the DCNN and HFCNN Based Computerized detection of liver cancer.,Pande SD; Kalyani P; Nagendram S; Alluhaidan AS; Babu GH et al.,2025,BMC medical imaging,10.1186/s12880-025-01578-4,Liver cancer detection is critically important in the discipline of biomedical image testing and diagnosis. Researchers have explored numerous machine learning (ML) techniques and deep learning (DL) approaches aimed at the automated recognition of liver disease by analysing computed tomography (CT) ...
R0185,PubMed,2026-01-20,Development and validation of fully automated robust deep learning models for multi-organ segmentation from whole-body CT images.,Salimi Y; Shiri I; Mansouri Z; Zaidi H,2025,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),10.1016/j.ejmp.2025.104911,"This study aimed to develop a deep-learning framework to generate multi-organ masks from CT images in adult and pediatric patients. A dataset consisting of 4082 CT images and ground-truth manual segmentation from various databases, including 300 pediatric cases, were collected. In strategy#1, the ma..."
R0186,PubMed,2026-01-20,Deep Learning-Powered CT-Less Multitracer Organ Segmentation From PET Images: A Solution for Unreliable CT Segmentation in PET/CT Imaging.,Salimi Y; Mansouri Z; Shiri I; Mainta I; Zaidi H,2025,Clinical nuclear medicine,10.1097/RLU.0000000000005685,"The common approach for organ segmentation in hybrid imaging relies on coregistered CT (CTAC) images. This method, however, presents several limitations in real clinical workflows where mismatch between PET and CT images are very common. Moreover, low-dose CTAC images have poor quality, thus challen..."
R0187,PubMed,2026-01-20,Deep learning for kidney trauma detection: CT image algorithm performance and external validation: experimental study.,Liao CH; Ouyang CH; Chen CC; Lin HS; Li YL et al.,2025,"International journal of surgery (London, England)",10.1097/JS9.0000000000002221,"Detecting kidney trauma on CT scans can be challenging and is sometimes overlooked. While deep learning (DL) has shown promise in medical imaging, its application to kidney injuries remains underexplored. This study aims to develop and validate a DL algorithm for detecting kidney trauma, using insti..."
R0188,PubMed,2026-01-20,Integrating deep learning and machine learning for improved CKD-related cortical bone assessment in HRpQCT images: A pilot study.,Lee Y; Bandara WR; Park S; Lee M; Seo C et al.,2025,Bone reports,10.1016/j.bonr.2024.101821,"High resolution peripheral quantitative computed tomography (HRpQCT) offers detailed bone geometry and microarchitecture assessment, including cortical porosity, but assessing chronic kidney disease (CKD) bone images remains challenging. This proof-of-concept study merges deep learning and machine l..."
R0189,PubMed,2026-01-20,TransRAUNet: A Deep Neural Network with Reverse Attention Module Using HU Windowing Augmentation for Robust Liver Vessel Segmentation in Full Resolution of CT Images.,Lim KY; Ko JE; Hwang YN; Lee SG; Kim SM,2025,"Diagnostics (Basel, Switzerland)",10.3390/diagnostics15020118,"<b>Background:</b> Liver cancer has a high mortality rate worldwide, and clinicians segment liver vessels in CT images before surgical procedures. However, liver vessels have a complex structure, and the segmentation process is conducted manually, so it is time-consuming and labor-intensive. Consequ..."
R0190,PubMed,2026-01-20,Automated detection of traumatic bleeding in CT images using 3D U-Net# and multi-organ segmentation.,Nurfauzi R; Baba A; Nakada TA; Nakaguchi T; Nomura Y,2025,Biomedical physics & engineering express,10.1088/2057-1976/adae14,"Traumatic injury remains a leading cause of death worldwide, with traumatic bleeding being one of its most critical and fatal consequences. The use of whole-body computed tomography (WBCT) in trauma management has rapidly expanded. However, interpreting WBCT images within the limited time available ..."
R0191,PubMed,2026-01-20,Dual-Stage AI Model for Enhanced CT Imaging: Precision Segmentation of Kidney and Tumors.,Karunanayake N; Lu L; Yang H; Geng P; Akin O et al.,2025,"Tomography (Ann Arbor, Mich.)",10.3390/tomography11010003,"Accurate kidney and tumor segmentation of computed tomography (CT) scans is vital for diagnosis and treatment, but manual methods are time-consuming and inconsistent, highlighting the value of AI automation. This study develops a fully automated AI model using vision transformers (ViTs) and convolut..."
R0192,PubMed,2026-01-20,Automated Audit and Self-Correction Algorithm for Seg-Hallucination Using MeshCNN-Based On-Demand Generative AI.,Kim S; Park C; Jeon G; Kim S; Kim JH,2025,"Bioengineering (Basel, Switzerland)",10.3390/bioengineering12010081,"Recent advancements in deep learning have significantly improved medical image segmentation. However, the generalization performance and potential risks of data-driven models remain insufficiently validated. Specifically, unrealistic segmentation predictions deviating from actual anatomical structur..."
R0193,PubMed,2026-01-20,Extracting organs of interest from medical images based on convolutional neural network with auxiliary and refined constraints.,Lian F; Sun Y; Li M,2025,Scientific reports,10.1038/s41598-025-86087-8,"Accurately extracting organs from medical images provides radiologist with more comprehensive evidences to clinical diagnose, which offers up a higher accuracy and efficiency. However, the key to achieving accurate segmentation lies in abundant clues for contour distinction, which has a high demand ..."
R0194,PubMed,2026-01-20,Head and neck automatic multi-organ segmentation on Dual-Energy Computed Tomography.,Lê AT; Sambourg K; Sun R; Deny N; Cifliku V et al.,2024,Physics and imaging in radiation oncology,10.1016/j.phro.2024.100654,Deep-learning-based automatic segmentation is widely used in radiation oncology to delineate organs-at-risk. Dual-energy CT (DECT) allows the reconstruction of enhanced contrast images that could help with manual and auto-delineation. This paper presents a performance evaluation of a commercial auto...
R0195,PubMed,2026-01-20,Robust Automated Mouse Micro-CT Segmentation Using Swin UNEt TRansformers.,Jiang L; Xu D; Xu Q; Chatziioannou A; Iwamoto KS et al.,2024,"Bioengineering (Basel, Switzerland)",10.3390/bioengineering11121255,Image-guided mouse irradiation is essential to understand interventions involving radiation prior to human studies. Our objective is to employ Swin UNEt TRansformers (Swin UNETR) to segment native micro-CT and contrast-enhanced micro-CT scans and benchmark the results against 3D no-new-Net (nnU-Net)...
R0196,PubMed,2026-01-20,Fully Automated Assessment of Cardiac Chamber Volumes and Myocardial Mass on Non-Contrast Chest CT with a Deep Learning Model: Validation Against Cardiac MR.,Schmitt R; Schlett CL; Sperl JI; Rapaka S; Jacob AJ et al.,2024,"Diagnostics (Basel, Switzerland)",10.3390/diagnostics14242884,<b>Background</b>: To validate the automated quantification of cardiac chamber volumes and myocardial mass on non-contrast chest CT using cardiac MR (CMR) as a reference. <b>Methods</b>: We retrospectively included 53 consecutive patients who received non-contrast chest CT and CMR within three weeks...
R0197,PubMed,2026-01-20,Automated estimation of individualized organ-specific dose and noise from clinical CT scans.,Wang S; Medrano MJ; Imran AAZ; Lee W; Cao JJ et al.,2025,Physics in medicine and biology,10.1088/1361-6560/ada67f,"<i>Objective</i>. Radiation dose and diagnostic image quality are opposing constraints in x-ray computed tomography (CT). Conventional methods do not fully account for organ-level radiation dose and noise when considering radiation risk and clinical task. In this work, we develop a pipeline to gener..."
R0198,PubMed,2026-01-20,SegRap2023: A benchmark of organs-at-risk and gross tumor volume Segmentation for Radiotherapy Planning of Nasopharyngeal Carcinoma.,Luo X; Fu J; Zhong Y; Liu S; Han B et al.,2025,Medical image analysis,10.1016/j.media.2024.103447,"Radiation therapy is a primary and effective treatment strategy for NasoPharyngeal Carcinoma (NPC). The precise delineation of Gross Tumor Volumes (GTVs) and Organs-At-Risk (OARs) is crucial in radiation treatment, directly impacting patient prognosis. Despite that deep learning has achieved remarka..."
R0199,PubMed,2026-01-20,Liver segmentation network based on detail enhancement and multi-scale feature fusion.,Tinglan L; Jun Q; Guihe Q; Weili S; Wentao Z,2025,Scientific reports,10.1038/s41598-024-78917-y,"Due to the low contrast of abdominal CT (Computer Tomography) images and the similar color and shape of the liver to other organs such as the spleen, stomach, and kidneys, liver segmentation presents significant challenges. Additionally, 2D CT images obtained from different angles (such as sagittal,..."
R0200,PubMed,2026-01-20,PFSH-Net: Parallel frequency-spatial hybrid network for segmentation of kidney stones in pre-contrast computed tomography images of dogs.,Choi J; Hwang G; Ji Y; Yoon H; Lee SJ,2025,Computers in biology and medicine,10.1016/j.compbiomed.2024.109609,"Kidney stone is a common urological disease in dogs and can lead to serious complications such as pyelonephritis and kidney failure. However, manual diagnosis involves a lot of burdens on radiologists and may cause human errors due to fatigue. Automated methods using deep learning models have been e..."
